process_id,process_name,process_stage,inputs,outputs,typical_quality_checks
P001,Pulp Preparation,Upstream,"wood pulp,water,additives",pulp slurry,"consistency %, pH"
P002,Sheet Forming & Drying,Upstream,pulp slurry,paper rolls,"basis weight, moisture"
P003,Slitting & Rewinding,Converting,paper rolls,paper reels,"edge quality, reel tension"
P004,Die Cutting,Converting,paper reels,cut sheets/shapes,"dimensional accuracy, burrs"
P005,Offset Printing,Printing,"cut sheets,ink",printed sheets,"color ?E, registration"
P006,Coating (Gloss/Matte),Finishing,"printed sheets,coating",coated sheets,"coat weight, adhesion"
P007,Lamination,Finishing,"coated sheets,film",laminated sheets,"bubble count, peel test"
P008,Binding (Spiral/Glue),Assembly,"laminated sheets,wire/glue",notebooks/pads,"page alignment, pull strength"
P009,Packaging & Labeling,Packaging,"finished goods,labels",boxed SKUs,"barcode scan, seal integrity"
P010,Final Quality Inspection,Quality,packaged SKUs,released lots,"AQL, visual defects"
